,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow
0,22-A-1583799,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,65.0,1.0,17,2,1583799.0,B73 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,102.0,193.0,32500.0,15.27,137.19,14.6,NA,16.824,NA,4.874,2.704,NA,18.0,610.0,27.406,167.3,21.667,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,2-17
1,22-A-1583800,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,70.0,1.0,18,2,1583800.0,2369 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,100.0,192.0,35000.0,12.66,119.07,10.6,NA,15.124,NA,4.593,2.511,NA,16.5,464.0,26.415,122.6,14.367,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,2-18
2,22-A-1583801,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,63.0,1.0,19,2,1583801.0,PHW52 X LH185,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,67.0,167.0,31500.0,10.71,99.15,12.0,NA,16.234,NA,4.649,2.45,NA,14.5,388.0,36.621,142.0,17.8,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,2-19
3,22-A-1583802,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,20,2,1583802.0,LH195 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,84.0,179.0,30500.0,12.72,115.09,14.0,NA,13.438,NA,4.538,2.461,NA,17.0,399.0,29.239,116.6,16.8,NA,NA,NA,NA,NA,NA,NA,8.2,2022-10-16,Check;Tattoo sensor,2-20
4,22-A-1583804,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,22,2,1583804.0,2369 X LH123HT,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,90.0,186.0,33000.0,8.27,77.09,11.4,NA,15.99,NA,4.202,2.559,NA,13.5,358.0,27.135,97.2,20.867,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,2-22
5,22-A-1583805,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,64.0,1.0,17,3,1583805.0,PHW52 X PHN82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,78.0,192.0,32000.0,18.92,155.26,22.0,NA,17.59,NA,5.008,2.681,NA,16.0,590.0,35.045,206.8,26.8,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,3-17
6,22-A-1583806,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,70.0,1.0,18,3,1583806.0,LH145 X LH162,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,80.0,184.0,35000.0,16.63,133.32,23.8,NA,16.887,NA,4.332,2.292,NA,13.5,443.0,32.363,143.4,19.8,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,3-18
7,22-A-1583807,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,63.0,1.0,19,3,1583807.0,LH74 X PHN82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,87.0,163.0,31500.0,15.11,131.3,17.4,NA,15.074,NA,4.831,2.597,NA,16.0,470.0,30.879,145.2,18.933,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,3-19
8,22-A-1583808,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,68.0,1.0,20,3,1583808.0,PHB47 X PHJ89,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,71.0,179.0,34000.0,9.14,91.06,5.3,NA,15.558,NA,4.23,2.285,NA,15.5,522.0,25.639,133.8,18.167,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,3-20
9,22-A-1583810,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,22,3,1583810.0,B37 X OH43,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,82.0,179.0,33000.0,4.42,44.04,5.3,NA,14.027,NA,4.521,2.663,NA,15.5,406.0,25.957,105.3,17.333,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Severe bend in ear. String used to measure ear length;Check;Tattoo sensor,3-22
